轮次,学习率,训练损失,训练准确率,验证损失,验证准确率,本轮耗时（秒）,累计耗时（秒）
63,0.1,0.19908592338230874,0.9306666666666666,0.4151061834812164,0.8826,22.13459630000034,1394.9789969000012
64,0.1,0.2024225498252445,0.9302,0.37584976959228517,0.8874,22.250343300000168,1417.229455300001
65,0.1,0.2050844798564911,0.9291555555555555,0.47938068618774415,0.8628,22.113564700001007,1439.3431364000007
66,0.1,0.20716749713917573,0.9276888888888889,0.3517528264045715,0.8868,22.146437899999,1461.4896905000005
67,0.1,0.2007153847800361,0.9301777777777778,0.5547700489044189,0.847,22.164273100001083,1483.6540726000003
68,0.1,0.20460989477899338,0.9296888888888889,0.37698587844371795,0.8894,22.113909199999398,1505.7680962000013
69,0.1,0.19656964620285564,0.9314666666666667,0.3158368821144104,0.9004,22.19213200000013,1527.9603489
70,0.1,0.19741564949883356,0.9308444444444445,0.4072412759780884,0.8724,22.128330199999255,1550.0948638999998
71,0.1,0.1987958724445767,0.9304,0.3593829591274261,0.8886,22.17857390000063,1572.2735583000012
72,0.1,0.20596983342170716,0.9276666666666666,0.8716632792472839,0.7792,22.30509610000081,1594.5787787999998
73,0.1,0.2062360213143958,0.9293555555555556,0.4188013465881348,0.8716,22.108713499999794,1616.687601900001
74,0.1,0.19715965054829915,0.9305333333333333,0.44560475263595584,0.8764,22.07575849999921,1638.763483300001
75,0.1,0.19740647513204151,0.9304222222222223,0.3342726270198822,0.8976,22.203167300000132,1660.9667728000004
76,0.1,0.1936008500152164,0.9333777777777778,0.33446015152931213,0.8918,22.144709899999725,1683.1115898999997
77,0.1,0.20218425096405876,0.9294666666666667,0.3573853754997253,0.8916,22.169964999999138,1705.2816729000006
78,0.1,0.1990081138451894,0.9308666666666666,0.4127368124008179,0.8824,22.478540600000997,1727.7603342000002
79,0.1,0.1945414903693729,0.9313777777777777,0.3468406888961792,0.8948,24.319586800000252,1752.0800402000004
80,0.1,0.1984939565234714,0.9296,0.32902419996261595,0.894,23.44559180000033,1775.5265461
81,0.1,0.19694866043196785,0.9315555555555556,0.31199349174499513,0.9054,25.5341114999992,1801.0607762
82,0.1,0.19246969136926864,0.9337777777777778,0.7423852986335754,0.8172,26.468019199999617,1827.5368591000006
83,0.1,0.19986901404857635,0.9300222222222222,0.3616311926841736,0.8926,26.17163360000086,1853.708609700001
84,0.1,0.19258815599017673,0.9327555555555556,0.37200448570251465,0.8878,26.78387289999955,1880.492612600001
85,0.1,0.19512423899438647,0.9300222222222222,0.317715514755249,0.9002,26.938346199998705,1907.4310697
86,0.1,0.19172099848985671,0.9334,0.2827953966617584,0.9134,26.198106400001052,1933.6292857999997
87,0.1,0.18989706777599122,0.9329333333333333,0.2939589991569519,0.9074,26.551994299999933,1960.1890359999998
88,0.1,0.187398745642768,0.9349777777777778,0.4067146202087402,0.882,27.12510790000124,1987.3142592000004
89,0.1,0.19788791660202873,0.9315111111111111,0.7397370141983032,0.7968,27.280660499998703,2014.5950831999999
90,0.1,0.20639163014623854,0.9285555555555556,0.37172481389045714,0.8868,26.805220599999302,2041.4004163000009
91,0.1,0.1912545437971751,0.9331555555555555,0.3879043839454651,0.8806,26.746787699999913,2068.1473239999996
